	R2.ESC.hapinfo.txt	R2.ipsNT.hapinfo.txt	R2.tissue.hapinfo.txt	Pvalue
chr2:90870966-90871020	0.601	0.25	0.006	1.88807431716023e-85
chr2:90955360-90955425	0.307	0.061	0.814	1.12555011452763e-46
chr2:90955427-90955434	0	0.082	0.895	1.2383507745473e-124
chr2:90955496-90955533	0	0.27	0.753	2.4883178127715e-95
chr2:90955540-90955610	0.014	0.001	0.86	1.71215399023233e-252
chr2:90987065-90987080	0.625	0.105	0.227	3.28238141584497e-23
chr2:91184288-91184313	0.65	0.342	0.08	2.16303720308711e-50
chr2:91222147-91222377	0.864	NA	NA	NA
chr2:91465289-91465296	0.635	0.218	0.136	1.84118533974563e-79
chr2:92814078-92814117	0.277	0.342	0.162	1.2507149732163e-38
chr2:92954062-92954068	0.598	0.4	0.379	9.87705689914156e-19
chr2:93152891-93153046	0.613	0.239	0.418	1.23966223121472e-12
chr2:93708773-93708895	0.461	0.38	0.04	6.20276671497922e-66
chr2:94225020-94225082	0.571	0.21	0.376	4.68202602110976e-32
chr2:9542320-9542356	0.543	0.186	0.71	9.25295108467858e-129
chr3:100299683-100299699	0.806	0.142	0.505	6.9040744557025e-150
chr3:100783368-100783385	0.616	0.4	0.453	2.97339330033971e-29
chr3:100874285-100874304	0.673	0.197	0.455	3.49332262188034e-105
chr3:100903854-100903866	0.754	0.109	0.394	6.41780591208884e-136
chr3:100908927-100909000	0.654	0.195	0.421	1.08946019972985e-73
chr3:100938908-100938962	0.656	0.076	0.02	1.36016266176322e-99
chr3:100939035-100939080	0.742	0.222	0.267	1.2366902119946e-75
chr3:100975171-100975188	0.58	0.048	0.342	2.3160051615882e-88
chr3:101010423-101010438	0.456	0.328	0.134	1.42397346677307e-27
chr3:101011132-101011156	0.655	0.163	0.078	4.64411123405773e-78
chr3:101013296-101013316	0.704	0.108	0.045	1.06788308327734e-153
chr3:101055991-101056001	0.675	0.166	0.165	1.84571990556412e-117
chr3:101098231-101098252	0.644	0.346	0.034	1.04068140825155e-91
chr3:101196679-101196694	0.697	0.287	0.318	4.33500172873897e-59
chr3:101217385-101217408	0.563	0.205	0.097	3.0084100242987e-110
chr3:101243557-101243607	0.569	0.209	0	1.70560643879636e-99
chr3:101243623-101243666	0.666	0.176	0.052	4.64575288169543e-134
chr3:101243904-101243912	0.71	0.218	0.049	3.27340980084947e-113
chr3:101330839-101330862	0.646	0.091	0.549	2.62966527023322e-109
chr3:101705736-101705866	0.653	0.153	0.178	4.8949304591033e-65
chr3:101968278-101968288	0.603	0.16	0.174	9.39171998463243e-62
chr3:101969286-101969311	0.514	0.366	0.132	2.23668752329065e-53
chr3:101969352-101969395	0.517	0.117	0.045	2.01463571450262e-101
chr3:101969503-101969521	0.446	0.305	0.251	1.92363400581741e-16
chr3:101969649-101969679	0.696	0.175	0.574	2.75738641576689e-112
chr3:101969856-101969899	0.49	0.201	0.203	1.7833891587031e-39
chr3:101970365-101970414	0.627	0.177	0.324	5.48773352283337e-31
chr3:101988065-101988128	0.366	0.231	0.103	1.44230789972504e-25
chr3:102739490-102739499	0.199	0.078	0.107	1.89852824637906e-16
chr3:102912882-102912941	0.599	0.397	0.141	2.35083727665036e-50
chr3:102913419-102913456	0.549	0.376	0.01	6.52005888185918e-103
chr3:102950716-102950775	0.364	0.188	0.421	4.42190704658844e-14
chr3:103007856-103008017	0.661	0.059	0.001	2.61738027529676e-95
chr3:103190661-103190683	0.612	0.404	0.553	4.74737110769458e-33
chr3:103190696-103190761	0.551	0.367	0.501	1.95704824180066e-35
chr3:103284954-103285090	0.819	0.219	0.408	7.56776650243598e-94
chr3:10360286-10360494	0.729	0.394	0.21	1.7415593738664e-51
chr3:10387219-10387441	0.651	0.617	0.563	8.65614706597601e-26
chr3:10390566-10390621	0.725	0.24	0.172	7.93246510435614e-92
chr3:104181833-104181971	0.755	0.303	0.299	1.86571629665443e-45
chr3:104471599-104471640	0.667	0.272	0.423	1.97760844216837e-24
chr3:104587019-104587030	0.598	0.149	0.358	7.51352349526894e-81
chr3:105263208-105263250	0.723	0.318	0.151	6.29813369366199e-80
chr3:105411522-105411539	0.635	NA	0.126	3.57249889557171e-84
chr3:105675028-105675051	0.571	0.3	0.457	3.61222861959137e-18
chr3:105698497-105698694	0.75	0.414	0.502	5.64161850894776e-30
chr3:106289055-106289210	0.501	0.188	0.553	0.000104091165604986
chr3:107145909-107145958	0.489	0.278	0.111	3.12830951063855e-43
chr3:107146255-107146281	0.475	NA	0.05	1.39794125575061e-67
chr3:107991520-107991551	0.397	0.226	0.206	3.68234197575784e-26
chr3:108042790-108042808	0.409	0.052	0.109	9.72425854452742e-62
chr3:108187822-108187830	0.276	0.234	0.11	6.72221695497536e-16
chr3:108187936-108187996	0.056	0.108	0.182	1.12339683321856e-08
chr3:108236530-108236551	0.16	0.259	0.243	0.00359130330423386
chr3:108236599-108236615	0.345	0.226	0.159	2.95409530578127e-23
chr3:108505930-108505938	0.644	0.067	0.339	2.64624573301163e-108
chr3:108684424-108684438	0.405	0.24	0.372	2.41650840687872e-14
chr3:108780501-108780569	0.576	0.281	0.123	7.70334362251233e-19
chr3:113315813-113315891	0.518	NA	0.03	2.16200435704851e-58
chr3:115415148-115415163	0.582	0.118	0.532	2.74151633871608e-72
chr3:115719252-115719268	0.621	0.292	0.632	8.25545395958338e-26
chr3:115822582-115822590	0.619	0.463	0.415	7.11247258131072e-13
chr3:115976413-115976436	0.575	0.364	0.169	4.21849674883523e-64
chr3:116039969-116039979	0.368	0.106	0.073	6.75545413562985e-55
chr3:116050638-116050671	0.325	0.471	0.021	5.3909962385792e-78
chr3:116050704-116050770	0.342	NA	0.052	2.07658631216062e-81
chr3:116050785-116050836	0.33	NA	0.08	4.71900454691471e-19
chr3:116050851-116050896	0.352	0.333	0.175	2.33512535399806e-08
chr3:116200591-116200614	0.496	0.417	0.001	5.73308590038848e-72
chr3:116362052-116362062	0.529	0.404	0.472	4.42965590807556e-08
chr3:116476955-116476960	0.322	0.117	0.355	9.71161233297826e-43
chr3:116512810-116512859	0.589	0.309	0.126	1.06242436596096e-58
chr3:116547704-116547856	0.718	0.321	0.464	2.72834097083151e-26
chr3:117503714-117503721	0.63	0.173	0.043	3.92204440181153e-90
chr3:117843671-117843837	0.687	0.524	0.269	4.67541589914858e-36
chr3:120910002-120910054	0.636	0.039	0.249	2.49301192917632e-83
chr3:121062165-121062258	0.571	0.224	0.165	5.23663765994912e-43
chr3:121072397-121072506	0.571	0.575	0.694	2.41903671155147e-08
chr3:121073413-121073432	0.625	0.584	0.703	7.13581726743356e-16
chr3:121160127-121160172	0.592	NA	0.017	1.3533316340407e-117
chr3:121160199-121160228	0.541	NA	0.002	9.64493398938087e-121
chr3:121160292-121160319	0.582	NA	0.054	2.57967710127894e-89
chr3:121160907-121160926	0.709	0.314	0.143	1.84838618243218e-74
chr3:121209597-121209615	0.465	0.34	0.206	1.36021896739843e-21
chr3:121280486-121280540	0.466	0.271	0.354	3.28686393711148e-21
chr3:121283845-121283999	0.645	0.288	0.026	1.167976426106e-65
chr3:121416248-121416310	0.657	0.166	0.458	6.34122574777194e-70
chr3:121416440-121416453	0.655	0.307	0.422	3.36404618097009e-68
chr3:121436907-121436930	0.541	0.172	0.163	5.26142437482807e-48
chr3:121443650-121443669	0.512	0.341	0.067	6.25489565444962e-63
chr3:121473576-121473609	0.536	NA	0.097	2.38628270987024e-69
chr3:121501128-121501152	0.906	0.173	0.116	1.84894363293234e-148
chr3:121517737-121517770	1	NA	NA	NA
chr3:121808730-121808744	0.769	0.091	0.245	1.42337535879381e-100
chr3:121996777-121996783	0.8	NA	NA	NA
chr3:122135808-122135839	NA	0.038	0.202	1.31848197322123e-06
chr3:122137513-122137601	0.455	0.804	0.048	1.30897761508572e-38
chr3:122188142-122188204	0.727	0.153	0.312	4.93228392765386e-95
chr3:122189966-122190000	0.701	0.222	0.085	2.41237946835602e-102
chr3:122196092-122196108	0.665	0.34	0.54	1.45187767917816e-49
chr3:122196316-122196329	0.715	0.219	0.496	3.1980814002635e-95
chr3:122196354-122196452	0.727	0.184	0.476	7.13484752487136e-45
chr3:122211098-122211175	0.43	0.28	0.314	2.85816005276015e-17
chr3:122211183-122211213	0.138	0.292	0.178	6.26937051537243e-17
chr3:122215596-122215639	0.685	0.236	0.412	8.8474331109171e-89
chr3:122215979-122216002	0.552	0.099	0.74	4.02918072033749e-107
chr3:122627322-122627354	1	0.805	NA	1.10251867094126e-24
chr3:122627370-122627393	0.829	0.841	0	2.07153476909127e-112
chr3:122627416-122627484	0.882	0.617	0.001	2.73839500639184e-190
chr3:122627535-122627556	0.719	0.588	0.248	1.9129551181818e-17
chr3:122652366-122652380	0.615	0.101	0.008	5.67389761054475e-161
chr3:122742000-122742026	0.614	0.119	0.496	2.56323725281008e-65
chr3:122789290-122789325	0.633	0.145	0.556	2.58355076944565e-111
chr3:123008724-123008761	0.531	0.39	0.172	1.00864981642544e-53
chr3:126087494-126087615	0.575	0.018	0.321	1.62381412151672e-83
chr3:126150642-126150653	0.506	0.362	0.329	1.01639571816254e-12
chr3:126398436-126398457	0.644	0.249	0.661	2.09274801580105e-56
chr3:126398536-126398659	0.627	0.195	0.482	2.87934618708912e-36
chr3:127166838-127166874	0.343	0.4	0.076	5.75371622377634e-20
chr3:127337005-127337015	1	NA	NA	NA
chr3:129242554-129242572	0.427	0.183	0.025	6.21281322385691e-119
chr3:129279092-129279119	0.576	0.421	0.022	2.51812247619996e-145
chr3:129293858-129293945	0.636	0.46	0.67	1.1826784461568e-37
chr3:129315835-129315858	0.472	0.274	0.66	1.56839205262632e-92
chr3:129331194-129331216	0.594	0.528	0.113	3.07099360641031e-64
chr3:130444966-130444990	0.683	0.227	0.272	2.93023549298413e-80
chr3:130840469-130840613	0.544	0.384	0.585	5.93770591371563e-15
chr3:130933354-130933588	0.532	0.181	NA	1.0693628009188e-06
chr3:130949797-130949858	0.638	0.234	0.43	6.47732683506782e-41
chr3:130952986-130953007	0.818	0.223	0.354	7.66990578959949e-114
chr3:131027927-131027948	0.734	0.566	0.055	9.55548738625906e-116
chr3:131033303-131033353	0.626	0.103	0.563	1.23363172659974e-120
chr3:131037956-131038069	0.672	0.365	0.414	1.34642753775676e-24
chr3:131066629-131066650	0.609	0.211	0.49	7.20238006926592e-76
chr3:131268884-131268890	0.639	0.245	0.019	2.02907474699293e-109
chr3:132592097-132592198	0.591	0.205	0.441	4.20769434484185e-36
chr3:133021519-133021553	0.497	0.188	0	1.27040910633478e-26
chr3:133180438-133180464	0.421	0.181	0.239	7.28524014105564e-26
chr3:133862904-133862915	0.542	0.283	0.422	1.87258168462353e-20
chr3:133862995-133863001	0.54	0.233	0.531	1.88966272283543e-58
chr3:134713278-134713434	0.599	0.467	0.072	4.17958896997092e-61
chr3:134964575-134964596	0.558	0.282	0	1.21384928873564e-63
chr3:134983382-134983499	0.597	0.131	0.013	1.49473758164987e-60
chr3:135074122-135074145	0.186	0.185	0.017	1.28270554648819e-28
chr3:135210344-135210370	0.396	0.359	0.086	1.81814139347826e-40
chr3:136045394-136045571	0.487	0.007	0.004	2.53304911952552e-93
chr3:136388335-136388367	0.55	0.159	0.635	3.24925167423761e-90
chr3:136422607-136422665	0.665	0.434	0.18	2.57499256860344e-79
chr3:136535081-136535194	0.67	0.347	0.389	1.77681362455545e-28
chr3:137273950-137273970	0.357	0.194	0.577	2.28553997655244e-83
chr3:137290780-137290989	0.814	0.205	0.067	5.92923061800812e-100
chr3:137617732-137617757	0.192	0.131	0.282	2.44265929147586e-11
chr3:137618427-137618452	0.326	0.116	0.209	4.08740545357647e-27
chr3:137638983-137639043	0.224	0.283	0.079	2.63066331173179e-26
chr3:138451591-138451635	0.435	0.346	0.439	0.000206566608171084
chr3:138464076-138464089	0.679	0.313	0.491	9.56873197614935e-80
chr3:138489653-138489668	0.35	0.265	0.184	6.88824426751974e-35
chr3:138500404-138500454	0.627	0.554	0.126	6.97494105564569e-63
chr3:138538224-138538343	0.616	0.416	0.023	9.70330129285228e-70
chr3:140874315-140874328	0.611	0.064	0.07	9.73543878248611e-108
chr3:141645061-141645069	0.528	0.164	0.604	3.49390447793193e-93
chr3:142019755-142019880	0.527	0.209	0.631	1.73645516741887e-28
chr3:144097303-144097356	0.498	0.19	0.138	2.40250727199879e-58
chr3:144263878-144264086	0.477	0.24	0.001	8.33259427742285e-67
chr3:144537906-144537924	0.635	0.036	0.11	4.66858384515655e-95
chr3:144700607-144700612	0.629	0.048	0.113	2.73099405187125e-81
chr3:145283068-145283088	0.649	0.12	0.243	1.47556937441304e-82
chr3:145427030-145427040	0.678	0.255	0.344	1.48515212007179e-78
chr3:145428380-145428392	0.701	0.196	0.218	3.43949256383054e-51
chr3:145444015-145444029	0.564	0.241	0.502	1.09919279849441e-36
chr3:146249757-146249769	0.703	0.006	0.092	1.87409963684556e-185
chr3:146325693-146325702	0.646	0.14	0.167	7.97530970685911e-88
chr3:146342776-146342813	0.407	0.138	0.292	3.40778596966025e-22
chr3:148088023-148088043	0.502	0.165	0.54	9.68222740838121e-81
chr3:148117779-148117831	0.671	0.073	0.36	3.93501154717726e-90
chr3:148470178-148470246	0.615	0.092	0.648	2.3701146868774e-110
chr3:148470257-148470295	0.479	0.057	0.651	2.63891002785087e-133
chr3:148480604-148480640	0.375	0.224	0.02	2.92690190938586e-45
chr3:148480751-148480790	0.435	0.113	0.024	2.57184857740933e-114
chr3:148482650-148482673	0.608	0.066	0.019	1.05895127023482e-141
chr3:148482724-148482783	0.532	0.263	0.011	1.11707814758103e-168
chr3:148482815-148482833	0.48	0.359	0.066	3.77767854978683e-84
chr3:148501983-148502011	0.502	0.591	0.146	1.01268352999894e-70
chr3:148640364-148640372	0.44	0.342	0.76	1.67350613695782e-73
chr3:148649600-148649642	0.214	0.279	0.458	3.76661572842634e-07
chr3:148779132-148779162	0.47	0.219	0.454	3.58525393564458e-05
chr3:148882863-148882884	NA	0.234	0.362	0.00241785278632743
chr3:151575353-151575395	0.655	0.381	0.505	9.56604794606856e-14
chr3:151575428-151575512	0.779	0.085	0.578	9.86302987828858e-70
chr3:152149082-152149135	0.373	0.222	0.055	1.11257823854352e-42
chr3:152149163-152149255	0.38	NA	0.001	2.59595583305273e-68
chr3:152149259-152149283	0.162	NA	0.001	1.14206526453616e-12
chr3:152529147-152529184	0.662	0.122	0.263	1.63683140412446e-82
chr3:152529189-152529233	0.609	0.118	0.362	3.95240658956983e-45
chr3:152831370-152831375	0.625	0.004	0.358	4.73274312362638e-139
chr3:152962186-152962211	0.511	0.112	0.076	2.92465607510087e-48
chr3:153010909-153011028	0.752	0.208	0.188	4.23957473173211e-86
chr3:153013316-153013352	0.602	0.208	0.127	8.58554988512449e-91
chr3:153022464-153022500	0.325	0.433	0.137	3.01744846146578e-62
chr3:153046613-153046671	0.687	0.105	0.189	1.45237338623519e-98
chr3:153121412-153121435	0.621	0.271	0.404	4.60064843039964e-42
chr3:153148572-153148954	0.891	0.004	NA	2.65885487303224e-60
chr3:153333006-153333040	0.656	0.172	0.192	9.36148742187813e-132
chr3:153482872-153482927	0.67	0.081	0.135	5.41655780994096e-76
chr3:153568641-153568648	0.268	0.317	0.051	2.96683329733788e-45
chr3:153568714-153568751	0.16	0.24	0.114	3.72059330209791e-15
chr3:153568753-153568783	0.281	0.163	0.055	4.23862843162838e-42
chr3:153568812-153568900	0.184	0.321	0.152	1.35246522567652e-22
chr3:153568906-153568985	0.263	0.435	0.208	1.40243916469143e-30
chr3:153600352-153600413	0.447	0.651	0.057	3.25429527684604e-125
chr3:153601860-153601879	0.675	0.096	0.12	7.68661447479039e-93
chr3:153604697-153604736	0.51	0.37	0.219	5.22290620534353e-34
chr3:153843935-153844051	0.675	0.306	0.23	7.31143695987066e-49
chr3:153991408-153991413	1	NA	0	3.0849189055017e-292
chr3:154274069-154274201	0.744	0.199	0.144	2.62416265838849e-121
chr3:154274503-154274520	0.729	0.306	0.017	4.70271236093487e-99
chr3:154296165-154296240	0.774	0.413	0.149	7.78256173471327e-59
chr3:156505783-156505915	0.744	0.305	0.334	1.2356124701817e-52
chr3:157965538-157965774	0.76	0.011	0.185	9.54090512362403e-102
chr3:17951762-17951784	0.538	0.108	0.445	1.88766201892139e-82
chr3:17951872-17951880	0.493	0.182	0.502	8.37366995030377e-44
chr3:19133833-19133850	0.244	0.233	0.297	3.21550957007794e-05
chr3:19922644-19922799	0.606	0.16	0.089	3.2768438545778e-70
chr3:19925713-19925725	0.638	0.169	0.571	5.8372122094307e-57
chr3:21863491-21863634	0.527	0.317	0.498	3.1295956854847e-13
chr3:21980070-21980134	0.532	0.323	0.376	3.89235144498598e-08
chr3:22021431-22021488	0.483	0.098	0.143	3.72415111204857e-85
chr3:27101744-27101782	0.598	0.105	0.157	1.6554195933191e-109
chr3:27338983-27339013	0.491	0.17	0.007	7.59553581370312e-99
chr3:27373459-27373636	0.573	0.536	0.533	6.26627983643705e-12
chr3:27441517-27441698	0.623	0.114	0.288	1.63616746730242e-56
chr3:27515716-27515738	0.54	0.031	0.43	2.15151969021878e-116
chr3:27542150-27542179	0.691	0.185	0.361	1.2900722954904e-95
chr3:27574462-27574483	0.616	0.191	0.466	9.01839341639608e-80
chr3:27578707-27578723	0.73	0.053	0.149	1.02763578375483e-94
chr3:27947054-27947100	0.562	0.284	0.083	7.70768151015799e-77
chr3:28109940-28110088	0.579	0.412	0.574	0.505845079248655
chr3:28125319-28125334	0.662	0.295	0.198	2.48937431542038e-74
chr3:28258026-28258207	0.863	0.464	0.61	3.48388801768829e-26
chr3:28663832-28663852	0.622	NA	0.001	5.38023521347455e-127
chr3:28663879-28663916	0.538	NA	0.231	3.42018051279355e-42
chr3:28664195-28664264	0.542	0.322	0.172	1.61913707002946e-28
chr3:30118542-30118560	0.579	0.208	0.563	8.22103519883719e-87
chr3:30118620-30118662	0.534	0.252	0.648	1.94939941370765e-90
chr3:30118718-30118738	0.425	0.451	0.53	3.72914915202392e-10
chr3:30246315-30246344	0.545	0.206	0.509	7.28490856381269e-57
chr3:30446411-30446524	0.69	0.133	0.373	8.60987581560433e-70
chr3:30519429-30519450	0.485	0.425	0.141	1.11046787468728e-79
chr3:30519460-30519480	0.422	0.249	0.11	1.94957214558059e-52
chr3:30612626-30612788	0.59	0.059	0.451	5.62768108746484e-62
chr3:30836441-30836547	0.539	0.036	0.256	1.235550594899e-67
chr3:30960696-30960711	0.567	0.341	0.488	8.03441025777055e-28
chr3:32240070-32240113	0.552	0.341	0.008	1.27844505072446e-103
chr3:32240247-32240329	0.754	0.444	0.038	1.88862759525667e-198
chr3:32240399-32240509	0.719	0.473	0.028	7.34721581814832e-183
chr3:32240560-32240624	0.72	0.466	0.03	1.37106144386284e-172
chr3:33856334-33856363	0.675	0.099	0.03	1.30092746046204e-97
chr3:34389059-34389104	0.595	0.065	0.277	4.53565296232582e-50
chr3:34451607-34451623	0.754	0.085	0.438	1.17872644769766e-107
chr3:34604545-34604549	0.544	0.25	0.045	1.61001949861266e-119
chr3:34658823-34658881	0.362	0.231	0.189	5.39121992913863e-12
chr3:34658964-34659024	0.273	0.15	0.246	8.21235971770886e-14
chr3:34659037-34659055	0.374	0.386	0.226	1.80146894508267e-11
chr3:34793542-34793586	0.459	NA	0.256	0.00561724945022754
chr3:34793684-34793718	0.498	0.272	0.269	0.00017410893743091
chr3:35124475-35124490	0.499	0.097	0.444	4.65308371938155e-67
chr3:35244032-35244036	0.656	0.235	0.013	8.28349921882817e-134
chr3:35873272-35873305	0.513	0.274	0.002	3.1801862807692e-135
chr3:37541820-37541931	0.512	0.247	0.548	4.23445818560563e-20
chr3:37542090-37542147	0.392	0.53	0.349	1.91397360418222e-23
chr3:37542668-37542697	0.526	0.231	0.444	2.69147094516476e-39
chr3:37567933-37568024	0.508	0.657	0.123	1.28998731955278e-114
chr3:37568036-37568153	0.621	0.581	0.076	2.25510563615136e-138
chr3:37568185-37568270	0.544	0.552	0.058	1.6758858858436e-149
chr3:37806791-37806812	0.525	0.031	0.435	1.24002996350133e-77
chr3:40512723-40512739	0.206	0.063	0.213	6.40478238982079e-14
chr3:41088941-41088962	0.487	0.177	0.505	8.89410532534895e-51
chr3:41359640-41359717	0.663	0.114	0.145	8.30798012244423e-20
chr3:41360198-41360308	0.721	0.836	0.344	3.08934667443355e-78
chr3:41361270-41361394	0.689	0.639	0.193	1.02809665257388e-62
chr3:41361622-41361708	0.492	0.466	0.468	1.62876068946181e-10
chr3:46250682-46250705	0.659	0.118	0.277	2.66582318877938e-36
chr3:46855281-46855346	0.522	1	0.109	4.98827096384827e-77
chr3:48412903-48412915	0.494	0.258	0.256	5.11787780215594e-30
chr3:50958944-50959127	0.658	0.004	0.18	5.85382421465436e-111
chr3:51029170-51029179	NA	NA	1	NA
chr3:51407894-51407912	0.521	0.195	0.71	1.67076444892293e-100
chr3:51440689-51440731	0.554	0.3	0.618	3.27621371976407e-05
chr3:51440738-51440761	0.598	0.286	0.583	5.66477490897346e-24
chr3:51712515-51712560	0.031	0.245	0.495	2.66080858308745e-44
chr3:51821569-51821607	0.586	0.189	0.609	4.05818533935859e-85
chr3:51944202-51944236	0.478	0.115	0.58	4.53086899201117e-41
chr3:52124034-52124048	0.689	0.229	0.01	1.41073803344141e-76
chr3:52187681-52187696	0.415	0.172	0.629	5.53267745360767e-90
chr3:52202028-52202068	0.629	0.255	0.399	4.93268569433837e-60
chr3:52811623-52811675	0.739	0.276	0.179	5.94721207242806e-74
chr3:53105735-53105757	0.519	0.116	0.532	9.50191105281127e-61
chr3:53205927-53205931	0.516	NA	0.515	5.15161754219353e-11
chr3:53225827-53225866	0.513	0.166	0.01	1.26058113610058e-102
chr3:53256719-53256822	0.522	0.563	0.467	2.00284269446593e-07
chr3:53362236-53362245	0.613	0.246	0.591	2.89674140808493e-81
chr3:54586498-54586513	0.634	0.117	0.231	3.39636891373853e-78
chr3:54921259-54921310	0.318	0.111	0.166	2.58287029472505e-28
chr3:54921329-54921347	0.315	0.061	0.001	5.82316486920479e-92
chr3:54923663-54923684	0.641	0.145	0.546	3.83070320549085e-85
chr3:54932142-54932159	0.548	0.077	0.165	2.06316887628783e-54
chr3:55813441-55813469	0.766	0.26	0.047	4.39314594269068e-140
chr3:57099245-57099263	0.646	0.203	0.513	5.2140689518906e-104
chr3:57972487-57972505	0.624	0.158	0.55	4.28523335633039e-67
chr3:62142801-62142835	1	NA	NA	NA
chr3:62728123-62728160	0.547	0.346	0.062	4.11484330078142e-36
chr3:63719347-63719358	0.649	0.199	0.025	4.21872498387319e-110
